problem,configuration,without,metric,mean,std
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-loss,3.6006981799999997,0.2766688044633611
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,tst-acc,0.05632184039999999,0.08155251593579313
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-accr,0.965934052,0.0064076608200196936
CLASSIFICATION,FB2x2-false-CLASSIFICATION,no-feedback,real-val-loss,0.266270666,0.07307614077248376
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-loss,3.4545387599999997,0.16929815217711744
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,val-acc,0.043956045000000006,0.028016590879712568
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-loss,3.45758308,0.18404638192437686
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,tst-acc,0.0494252894,0.019438546177370404
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-accr,0.792307692,0.04058500829014696
CLASSIFICATION,FB2x3-false-CLASSIFICATION,no-feedback,real-val-loss,2.3288923,0.595436094193041
REGRESSION,REGULAR-true-REGRESSION,no-skip,val-loss,286.22551999999996,2.2594877327748466
REGRESSION,REGULAR-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-loss,329.518034,3.168278705856541
REGRESSION,REGULAR-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,REGULAR-true-REGRESSION,no-skip,real-val-loss,286.25156200000004,2.331992122151355
REGRESSION,FB1-true-REGRESSION,no-skip,val-loss,280.984534,15.598353790582644
REGRESSION,FB1-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,tst-loss,317.06109399999997,17.97911859064354
REGRESSION,FB1-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-skip,real-val-loss,280.993382,15.60164140094804
REGRESSION,FB1-true-REGRESSION,no-feedback,val-loss,2502.3208,5.506769531040908
REGRESSION,FB1-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-loss,2441.8257600000006,5.301006397506147
REGRESSION,FB1-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB1-true-REGRESSION,no-feedback,real-val-loss,280.993382,15.60164140094804
REGRESSION,FB2x2-true-REGRESSION,no-skip,val-loss,242.195282,4.628107951547372
REGRESSION,FB2x2-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-loss,278.503918,3.3245348234145564
REGRESSION,FB2x2-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-skip,real-val-loss,242.200954,4.634608718209555
REGRESSION,FB2x2-true-REGRESSION,no-feedback,val-loss,2523.35994,3.1358590169840177
REGRESSION,FB2x2-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-loss,2462.59002,3.348218801930308
REGRESSION,FB2x2-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x2-true-REGRESSION,no-feedback,real-val-loss,242.200954,4.634608718209555
REGRESSION,FB2x3-true-REGRESSION,no-skip,val-loss,286.350406,13.301960836056619
REGRESSION,FB2x3-true-REGRESSION,no-skip,val-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-loss,321.88996199999997,13.151473496010086
REGRESSION,FB2x3-true-REGRESSION,no-skip,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-skip,real-val-loss,286.34605,13.30557312130522
REGRESSION,FB2x3-true-REGRESSION,no-feedback,val-loss,2536.51132,0.5655638086017595
REGRESSION,FB2x3-true-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-loss,2475.2113799999997,0.6274424257252236
REGRESSION,FB2x3-true-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x3-true-REGRESSION,no-feedback,real-val-loss,286.34605,13.30557312130522
REGRESSION,FB1-false-REGRESSION,no-feedback,val-loss,2523.47728,49.72663940410214
REGRESSION,FB1-false-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB1-false-REGRESSION,no-feedback,tst-loss,2463.87884,51.34127910524242
REGRESSION,FB1-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB1-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB1-false-REGRESSION,no-feedback,real-val-loss,296.149804,23.36806727170616
REGRESSION,FB2x2-false-REGRESSION,no-feedback,val-loss,2527.19734,3.459700718617148
REGRESSION,FB2x2-false-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x2-false-REGRESSION,no-feedback,tst-loss,2466.29598,3.295561792107654
REGRESSION,FB2x2-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x2-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x2-false-REGRESSION,no-feedback,real-val-loss,261.53967,40.82632741088231
REGRESSION,FB2x3-false-REGRESSION,no-feedback,val-loss,2536.52526,0.7389717926956925
REGRESSION,FB2x3-false-REGRESSION,no-feedback,val-acc,0.0,0.0
REGRESSION,FB2x3-false-REGRESSION,no-feedback,tst-loss,2475.2396200000003,0.7160949892297958
REGRESSION,FB2x3-false-REGRESSION,no-feedback,tst-acc,0.0,0.0
REGRESSION,FB2x3-false-REGRESSION,no-feedback,real-val-accr,0.0,0.0
REGRESSION,FB2x3-false-REGRESSION,no-feedback,real-val-loss,250.90784599999998,32.28348345695341
